ID;Types of Millets;Common Name;Category;Drought resistant;Flood Resistant;Min Temperature (ºC);Max Temperature (ºC);pH level of the soil Min;pH level of the soil Max;Soil type;Soil Salinity (dS/m) Min;Soil Salinity (dS/m) Max;Rainfall Required (cm) Min;Rainfall Required (cm) Max;Altitude range (m) Min;Altitude range (m) Max;Soil Temperature (ºC) Min;Soil Temperature (ºC) Max;"Soil moisture
min";"Soil moisture
max";Light Duration (hours) Min;Light Duration (hours) Max;Land usage for each crop (t/ha) Min;Land usage for each crop (t/ha) Max;Seeding Rate (kg/ha) Min;Seeding Rate (kg/ha) Max;Maturity time (days) Min;Maturity time (days) Max;Planting Depth (cm) Min;Planting Depth (cm) Max;Planting Geometry (cm x cm);Protein (g);Fat (g);Ash (g);Crude Fibre (g);Carbo- hydrates (g);Energy (kcal);Calcium (mg);Iron (mg);Thiamine (mg);Ribo- flavin (mg);Nia- cin (mg);Price (US$ / Kg)
1;Pearl millet (Pennisetum glaucum);PEARL;Major;1;0;30;34;6;7;LC, SL;11;12;20;60;0;2700;;;20 %;80 %;;;1;2;;;60;70;;;20x30;10.96;5.43;1.37;11.49;61.78;348;27.35;6.42;0.25;0.2;0.86;19
2;Finger millet (Eleusine coracana);FINGER;Major;1;0;26;29;4.5;7.5;L;11;12;50;60;0;2300;;;15 %;70 %;;;1;2;;;90;120;;;20x30;7.16;1.92;2.04;11.18;66.82;320.7;364;4.62;0.37;0.17;1.3;19
3;Foxtail millet (Setaria italica);FOXTAIL;Minor;1;0;5;35;5.5;7;SL;0;6;30;70;0;200;5;35;20 %;75 %;;;1;2;;;75;90;;;20x30;12.3;4.3;0;8;60.9;331;31;2.8;0.59;0.11;3.2;24
4;Proso millet (Panicum miliaceum) (Chena in India);PROSO;Major;1;0;20;30;5.5;6.5;SL, A;1.5;9.5;20;50;1200;3500;20;30;20 %;70 %;;;1;2;;;60;90;;;20x30;8.92;2.55;1.72;6.39;66.19;331.7;15.27;2.34;0.29;0.2;1.49;
5;Little millet (Panicum sumatrense);LITTLE;Minor;0;1;25;30;5.5;6.5;C,L,S;0;2;75;80;0;2100;25;30;15 %;65 %;;;1;2;;;80;85;;;20x30;10.13;3.89;1.34;7.72;65.55;346.3;16.06;1.26;0.26;0.05;1.29;20
6;Kodo millet (Paspalum scrobiculatum);KODO;Minor;1;0;25;27;5.5;6.5;F/M;0;2;80;120;0;1500;25;27;15 %;65 %;;;1;2;;;100;140;;;20x30;9.8;3.6;3.3;5.2;66.6;353;35;1.7;0.15;0.09;2;20
7;Browntop millet (Brachiaria ramosa);BROWNTOP;Minor;0;1;20;30;5;6.5;SL;0;2;500;800;0;1500;25;35;20 %;70 %;12;14;1;2;5;10;60;90;2;3;20x30;11;1.5;1.8;2.3;78.3;356;10;9;0.17;0.15;0.7;
8;Teff millet (Eragrostis tef);TEFF;Minor;1;0;15;35;6;7.5;SL;0;2;400;600;0;2500;15;30;15 %;65 %;12;14;1;2;5;10;90;120;1;2;20x30;13;2;2.4;8;73;367;180;9.8;0.47;0.35;4.2;13.27941176
9;Japanese millet (Echinochloa esculenta);JAPANESE;Minor;0;1;19;33;5.5;6.5;HSL;3;5;400;600;0;2000;19;33;20 %;70 %;;;1;2;11.2;13.4;40;45;0.63;1.27;20x30;;;;;;;;;;;;7.48
10;Indian barnyard millet (Echinochloa colona);INDIAN BARNYARD;Minor;0;1;15;33;4.6;7.4;HSL;3;5;400;600;0;2000;15;33;15 %;65 %;;;1;2;;;45;70;2;3;20x30;;;;;;;;;;;;
11;African millet (Eleusine indica);AFRICAN;Minor;0;1;20;30;6;7.5;SLC;0;2;500;700;0;1500;20;30;15 %;65 %;12;14;1;2;8;12;80;120;2;3;20x30;7.7;1.6;2.8;1.6;78.3;352;30;3.9;0.33;0.17;1.4;
12;Italian millet (Setaria italica);ITALIAN;Minor;1;0;25;35;6;7.5;SLC;0;2;400;600;0;2000;25;35;20 %;70 %;12;14;1;2;10;15;60;90;2;3;20x30;10.6;3.1;1.9;1.7;78.8;361;29;1.5;0.22;0.11;1.2;21.406
13;Job's tears (Coix lacryma-jobi);JOB'S TEARS;Minor;1;0;25;35;6;7.5;SLC;0;2;500;800;0;2000;25;35;20 %;70 %;;14;1;3;10;15;90;120;2;3;20x30;;;;;;;;;;;;
14;Guinea millet (Brachiaria deflexa);GUINEA;Minor;1;0;25;35;6;7;L;0;2;600;800;0;1500;25;35;20 %;70 %;12;14;1;3;10;15;70;90;2;3;20x30;;;;;;;;;;;;24
