ID;Types of Millets;Common Name;Category;Drought resistant;Flood Resistant;Min Temperature (ºC);Max Temperature (ºC);pH level of the soil Min;pH level of the soil Max;Soil type;Soil Salinity (dS/m) Min;Soil Salinity (dS/m) Max;Rainfall Required (cm) Min;Rainfall Required (cm) Max;Altitude range (m) Min;Altitude range (m) Max;Soil Temperature (ºC) Min;Soil Temperature (ºC) Max;"Soil moisture
min";"Soil moisture
max";Light Duration (hours) Min;Light Duration (hours) Max;Land usage for each crop (t/ha) Min;Land usage for each crop (t/ha) Max;Seeding Rate (kg/ha) Min;Seeding Rate (kg/ha) Max;Maturity time (days) Min;Maturity time (days) Max;Planting Depth (cm) Min;Planting Depth (cm) Max;Planting Geometry (cm x cm);Protein (g);Fat (g);Ash (g);Crude Fibre (g);Carbo- hydrates (g);Energy (kcal);Calcium (mg);Iron (mg);Thiamine (mg);Ribo- flavin (mg);Nia- cin (mg);Price (US$ / Kg)
1;Pearl millet (Pennisetum glaucum);PEARL;Major;1.0;0.0;30.0;34.0;6.0;7.0;LC, SL;11.0;12.0;20.0;60.0;0.0;2700.0;20.5;31.75;20 %;80 %;11.80952380952381;13.909090909090908;1.0;2.0;10.645454545454545;17.843478260869563;60.0;70.0;1.8439285714285714;6.473928571428571;20x30;10.96;5.43;1.37;11.49;61.78;348.0;27.35;6.42;0.25;0.2;0.86;19.0
2;Finger millet (Eleusine coracana);FINGER;Major;1.0;0.0;26.0;29.0;4.5;7.5;L;11.0;12.0;50.0;60.0;0.0;2300.0;20.5;31.75;15 %;70 %;11.80952380952381;13.909090909090908;1.0;2.0;10.645454545454545;17.843478260869563;90.0;120.0;1.8439285714285714;6.473928571428571;20x30;7.16;1.92;2.04;11.18;66.82;320.7;364.0;4.62;0.37;0.17;1.3;19.0
3;Foxtail millet (Setaria italica);FOXTAIL;Minor;1.0;0.0;5.0;35.0;5.5;7.0;SL;0.0;6.0;30.0;70.0;0.0;200.0;5.0;35.0;20 %;75 %;11.80952380952381;13.909090909090908;1.0;2.0;10.645454545454545;17.843478260869563;75.0;90.0;1.8439285714285714;6.473928571428571;20x30;12.3;4.3;0.0;8.0;60.9;331.0;31.0;2.8;0.59;0.11;3.2;24.0
4;Proso millet (Panicum miliaceum) (Chena in India);PROSO;Major;1.0;0.0;20.0;30.0;5.5;6.5;SL, A;1.5;9.5;20.0;50.0;1200.0;3500.0;20.0;30.0;20 %;70 %;11.80952380952381;13.909090909090908;1.0;2.0;10.645454545454545;17.843478260869563;60.0;90.0;1.8439285714285714;6.473928571428571;20x30;8.92;2.55;1.72;6.39;66.19;331.7;15.27;2.34;0.29;0.2;1.49;17.24487782769231
5;Little millet (Panicum sumatrense);LITTLE;Minor;0.0;1.0;25.0;30.0;5.5;6.5;C,L,S;0.0;2.0;75.0;80.0;0.0;2100.0;25.0;30.0;15 %;65 %;11.80952380952381;13.909090909090908;1.0;2.0;10.645454545454545;17.843478260869563;80.0;85.0;1.8439285714285714;6.473928571428571;20x30;10.13;3.89;1.34;7.72;65.55;346.3;16.06;1.26;0.26;0.05;1.29;20.0
6;Kodo millet (Paspalum scrobiculatum);KODO;Minor;1.0;0.0;25.0;27.0;5.5;6.5;F/M;0.0;2.0;80.0;120.0;0.0;1500.0;25.0;27.0;15 %;65 %;11.80952380952381;13.909090909090908;1.0;2.0;10.645454545454545;17.843478260869563;100.0;140.0;1.8439285714285714;6.473928571428571;20x30;9.8;3.6;3.3;5.2;66.6;353.0;35.0;1.7;0.15;0.09;2.0;20.0
7;Browntop millet (Brachiaria ramosa);BROWNTOP;Minor;0.0;1.0;20.0;30.0;5.0;6.5;SL;0.0;2.0;500.0;800.0;0.0;1500.0;25.0;35.0;20 %;70 %;12.0;14.0;1.0;2.0;5.0;10.0;60.0;90.0;2.0;3.0;20x30;11.0;1.5;1.8;2.3;78.3;356.0;10.0;9.0;0.17;0.15;0.7;17.24487782769231
8;Teff millet (Eragrostis tef);TEFF;Minor;1.0;0.0;15.0;35.0;6.0;7.5;SL;0.0;2.0;400.0;600.0;0.0;2500.0;15.0;30.0;15 %;65 %;12.0;14.0;1.0;2.0;5.0;10.0;90.0;120.0;1.0;2.0;20x30;13.0;2.0;2.4;8.0;73.0;367.0;180.0;9.8;0.47;0.35;4.2;13.27941176
9;Japanese millet (Echinochloa esculenta);JAPANESE;Minor;0.0;1.0;19.0;33.0;5.5;6.5;HSL;3.0;5.0;400.0;600.0;0.0;2000.0;19.0;33.0;20 %;70 %;11.80952380952381;13.909090909090908;1.0;2.0;11.2;13.4;40.0;45.0;0.63;1.27;20x30;10.408235294117647;2.9658823529411764;1.8741176470588234;5.105882352941176;72.11294117647058;350.635294117647;52.60470588235294;4.8876470588235295;0.30470588235294116;0.14117647058823532;1.572941176470588;7.48
10;Indian barnyard millet (Echinochloa colona);INDIAN BARNYARD;Minor;0.0;1.0;15.0;33.0;4.6;7.4;HSL;3.0;5.0;400.0;600.0;0.0;2000.0;15.0;33.0;15 %;65 %;11.80952380952381;13.909090909090908;1.0;2.0;10.645454545454545;17.843478260869563;45.0;70.0;2.0;3.0;20x30;10.408235294117647;2.9658823529411764;1.8741176470588234;5.105882352941176;72.11294117647058;350.635294117647;52.60470588235294;4.8876470588235295;0.30470588235294116;0.14117647058823532;1.572941176470588;17.24487782769231
11;African millet (Eleusine indica);AFRICAN;Minor;0.0;1.0;20.0;30.0;6.0;7.5;SLC;0.0;2.0;500.0;700.0;0.0;1500.0;20.0;30.0;15 %;65 %;12.0;14.0;1.0;2.0;8.0;12.0;80.0;120.0;2.0;3.0;20x30;7.7;1.6;2.8;1.6;78.3;352.0;30.0;3.9;0.33;0.17;1.4;17.24487782769231
12;Italian millet (Setaria italica);ITALIAN;Minor;1.0;0.0;25.0;35.0;6.0;7.5;SLC;0.0;2.0;400.0;600.0;0.0;2000.0;25.0;35.0;20 %;70 %;12.0;14.0;1.0;2.0;10.0;15.0;60.0;90.0;2.0;3.0;20x30;10.6;3.1;1.9;1.7;78.8;361.0;29.0;1.5;0.22;0.11;1.2;21.406
13;Job's tears (Coix lacryma-jobi);JOB'S TEARS;Minor;1.0;0.0;25.0;35.0;6.0;7.5;SLC;0.0;2.0;500.0;800.0;0.0;2000.0;25.0;35.0;20 %;70 %;11.80952380952381;14.0;1.0;3.0;10.0;15.0;90.0;120.0;2.0;3.0;20x30;10.408235294117647;2.9658823529411764;1.8741176470588234;5.105882352941176;72.11294117647058;350.635294117647;52.60470588235294;4.8876470588235295;0.30470588235294116;0.14117647058823532;1.572941176470588;17.24487782769231
14;Guinea millet (Brachiaria deflexa);GUINEA;Minor;1.0;0.0;25.0;35.0;6.0;7.0;L;0.0;2.0;600.0;800.0;0.0;1500.0;25.0;35.0;20 %;70 %;12.0;14.0;1.0;3.0;10.0;15.0;70.0;90.0;2.0;3.0;20x30;10.408235294117647;2.9658823529411764;1.8741176470588234;5.105882352941176;72.11294117647058;350.635294117647;52.60470588235294;4.8876470588235295;0.30470588235294116;0.14117647058823532;1.572941176470588;24.0
15;Sorghum Millet (Jowar);SORGHUM;Major;1.0;0.0;7.0;30.0;5.0;8.0;S, L;4.0;6.0;40.0;100.0;0.0;3000.0;20.5;31.75;20 %;70 %;11.80952380952381;13.909090909090908;1.0;2.0;10.645454545454545;17.843478260869563;90.0;120.0;2.0;3.0;20x30;9.97;1.73;1.39;10.22;67.68;334.1;27.6;3.95;0.35;0.14;2.1;2.948
16;Buckwheat Millet (Kuttu);BUCKWHEAT;Minor;1.0;0.0;18.0;21.0;4.8;6.0;S, A;0.0;2.0;35.0;100.0;0.0;1500.0;18.0;22.0;15 %;65 %;8.0;12.0;1.0;2.0;10.645454545454545;20.0;70.0;90.0;4.0;6.0;30 x 10;10.408235294117647;2.9658823529411764;1.8741176470588234;5.105882352941176;72.11294117647058;350.635294117647;52.60470588235294;4.8876470588235295;0.30470588235294116;0.14117647058823532;1.572941176470588;5.61
17;Amaranth Millet (Rajgira);AMARANTH;Minor;1.0;0.0;20.0;30.0;6.0;7.5;SLC;0.0;2.0;500.0;700.0;0.0;2000.0;20.0;30.0;15 %;65 %;12.0;14.0;1.0;2.0;5.0;10.0;70.0;100.0;1.0;2.0;15x20;10.408235294117647;2.9658823529411764;1.8741176470588234;5.105882352941176;72.11294117647058;350.635294117647;52.60470588235294;4.8876470588235295;0.30470588235294116;0.14117647058823532;1.572941176470588;21.0
18;Barnyard millet (Echinochloa frumentacea);BARNYARD;Minor;1.0;0.0;15.0;33.0;4.6;7.4;HSL;3.0;5.0;400.0;600.0;0.0;2000.0;20.5;31.75;15 %;65 %;11.80952380952381;13.909090909090908;1.0;2.0;10.645454545454545;17.843478260869563;45.0;70.0;2.0;3.0;10x20;11.2;3.5;2.2;2.6;73.5;366.0;14.0;9.2;0.34;0.12;1.3;17.24487782769231
19;White fonio (Digitaria exilis);WHITE FONIO;Minor;0.0;1.0;25.0;30.0;4.0;6.5;S, A;0.5;4.0;60.0;120.0;70.0;400.0;20.5;31.75;15 %;65 %;11.80952380952381;13.909090909090908;0.7;1.5;10.645454545454545;17.843478260869563;60.0;150.0;2.0;3.0;10x20;10.408235294117647;2.9658823529411764;1.8741176470588234;5.105882352941176;72.11294117647058;350.635294117647;52.60470588235294;4.8876470588235295;0.30470588235294116;0.14117647058823532;1.572941176470588;17.24487782769231
20;Black fonio (Digitaria iburua);BLACK FONIO;Minor;0.0;1.0;25.0;35.0;5.5;7.5;SLC;0.0;2.0;600.0;900.0;0.0;1500.0;25.0;35.0;15 %;65 %;12.0;14.0;0.5;1.5;5.0;10.0;70.0;90.0;1.0;2.0;10x20;10.408235294117647;2.9658823529411764;1.8741176470588234;5.105882352941176;72.11294117647058;350.635294117647;52.60470588235294;4.8876470588235295;0.30470588235294116;0.14117647058823532;1.572941176470588;17.24487782769231
21;Ameranthus;CHAULAI;Minor;1.0;0.0;20.0;30.0;6.0;7.5;SLC;0.0;2.0;500.0;800.0;0.0;2000.0;20.0;30.0;20 %;70 %;12.0;14.0;1.0;3.0;5.0;10.0;70.0;120.0;1.0;2.0;20x30;10.408235294117647;2.9658823529411764;1.8741176470588234;5.105882352941176;72.11294117647058;350.635294117647;52.60470588235294;4.8876470588235295;0.30470588235294116;0.14117647058823532;1.572941176470588;26.46
22;Great millet (Sorghum bicolor);Great millet or Jowar;Major;1.0;0.0;25.0;30.0;6.0;7.0;SLC;0.0;2.0;70.0;160.0;0.0;1000.0;20.5;31.75;20 %;70 %;11.80952380952381;13.909090909090908;1.0;2.0;10.645454545454545;17.843478260869563;71.21212121212122;96.81818181818181;0.0;100.0;10x20;11.3;3.3;1.6;1.2;80.8;349.0;28.0;3.9;0.37;0.14;1.2;17.24487782769231
